date,region,nonresident_cases
2020-05-16,Northern,
2020-05-19,Northern,
2020-05-22,Northern,
2020-05-24,Northern,
2020-05-25,Northern,
2020-05-28,Northern,
2020-05-29,Northern,
2020-05-30,Northern,
2020-06-01,Northern,
2020-06-02,Northern,
2020-06-03,Northern,
2020-06-04,Northern,
2020-06-05,Northern,
2020-06-06,Northern,
2020-06-07,Northern,
2020-06-08,Northern,
2020-06-09,Northern,
2020-06-10,Northern,
2020-06-11,Northern,
2020-06-12,Northern,
2020-06-13,Northern,
2020-06-14,Northern,
2020-06-15,Northern,
2020-06-16,Northern,1.0
2020-06-17,Northern,
2020-06-18,Northern,
2020-06-19,Northern,
2020-06-20,Northern,
2020-06-21,Northern,
2020-06-22,Northern,
2020-06-23,Northern,
2020-06-24,Northern,
2020-06-25,Northern,1.0
2020-06-26,Northern,
2020-06-27,Northern,
2020-06-28,Northern,
2020-06-29,Northern,
2020-06-30,Northern,
2020-07-01,Northern,
2020-07-02,Northern,
2020-07-03,Northern,
2020-07-04,Northern,
2020-07-05,Northern,
2020-07-06,Northern,
2020-07-07,Northern,
2020-07-08,Northern,
2020-07-09,Northern,
2020-07-10,Northern,1.0
2020-07-11,Northern,1.0
2020-07-12,Northern,
2020-07-13,Northern,
2020-07-14,Northern,
2020-07-15,Northern,
2020-07-16,Northern,
2020-07-17,Northern,
2020-07-18,Northern,
2020-07-19,Northern,
2020-07-20,Northern,
2020-07-21,Northern,
2020-07-22,Northern,
2020-07-23,Northern,
2020-07-24,Northern,
2020-07-25,Northern,
2020-07-26,Northern,
2020-07-27,Northern,1.0
2020-07-28,Northern,
2020-07-29,Northern,
2020-07-30,Northern,
2020-07-31,Northern,
2020-08-01,Northern,
2020-08-02,Northern,
2020-08-03,Northern,
2020-03-12,Southeast,
2020-04-04,Southeast,
2020-04-08,Southeast,
2020-04-10,Southeast,
2020-04-15,Southeast,
2020-05-06,Southeast,
2020-05-08,Southeast,
2020-05-14,Southeast,
2020-05-15,Southeast,
2020-05-16,Southeast,
2020-05-19,Southeast,
2020-05-22,Southeast,
2020-05-24,Southeast,
2020-05-25,Southeast,
2020-05-28,Southeast,
2020-05-29,Southeast,
2020-05-30,Southeast,
2020-06-01,Southeast,
2020-06-02,Southeast,
2020-06-03,Southeast,1.0
2020-06-04,Southeast,
2020-06-05,Southeast,
2020-06-06,Southeast,
2020-06-07,Southeast,
2020-06-08,Southeast,
2020-06-09,Southeast,1.0
2020-06-10,Southeast,1.0
2020-06-11,Southeast,2.0
2020-06-12,Southeast,6.0
2020-06-13,Southeast,
2020-06-14,Southeast,
2020-06-15,Southeast,
2020-06-16,Southeast,1.0
2020-06-17,Southeast,
2020-06-18,Southeast,1.0
2020-06-19,Southeast,1.0
2020-06-20,Southeast,1.0
2020-06-21,Southeast,4.0
2020-06-22,Southeast,2.0
2020-06-23,Southeast,
2020-06-24,Southeast,2.0
2020-06-25,Southeast,1.0
2020-06-26,Southeast,1.0
2020-06-27,Southeast,
2020-06-28,Southeast,
2020-06-29,Southeast,1.0
2020-06-30,Southeast,2.0
2020-07-01,Southeast,2.0
2020-07-02,Southeast,
2020-07-03,Southeast,
2020-07-04,Southeast,1.0
2020-07-05,Southeast,1.0
2020-07-06,Southeast,
2020-07-07,Southeast,2.0
2020-07-08,Southeast,1.0
2020-07-09,Southeast,
2020-07-10,Southeast,
2020-07-11,Southeast,
2020-07-12,Southeast,
2020-07-13,Southeast,1.0
2020-07-14,Southeast,2.0
2020-07-15,Southeast,2.0
2020-07-16,Southeast,5.0
2020-07-17,Southeast,1.0
2020-07-18,Southeast,1.0
2020-07-19,Southeast,21.0
2020-07-20,Southeast,6.0
2020-07-21,Southeast,1.0
2020-07-22,Southeast,1.0
2020-07-23,Southeast,
2020-07-24,Southeast,
2020-07-25,Southeast,2.0
2020-07-26,Southeast,1.0
2020-07-27,Southeast,10.0
2020-07-28,Southeast,6.0
2020-07-29,Southeast,4.0
2020-07-30,Southeast,2.0
2020-07-31,Southeast,2.0
2020-08-01,Southeast,
2020-08-02,Southeast,1.0
2020-08-03,Southeast,
2020-03-12,Southwest,
2020-04-04,Southwest,
2020-04-08,Southwest,
2020-04-10,Southwest,
2020-04-15,Southwest,
2020-05-06,Southwest,
2020-05-08,Southwest,
2020-05-14,Southwest,
2020-05-15,Southwest,1.0
2020-05-16,Southwest,
2020-05-19,Southwest,
2020-05-22,Southwest,
2020-05-24,Southwest,
2020-05-25,Southwest,
2020-05-28,Southwest,
2020-05-29,Southwest,1.0
2020-05-30,Southwest,1.0
2020-06-01,Southwest,
2020-06-02,Southwest,
2020-06-03,Southwest,3.0
2020-06-04,Southwest,
2020-06-05,Southwest,
2020-06-06,Southwest,
2020-06-07,Southwest,
2020-06-08,Southwest,2.0
2020-06-09,Southwest,
2020-06-10,Southwest,1.0
2020-06-11,Southwest,2.0
2020-06-12,Southwest,
2020-06-13,Southwest,1.0
2020-06-14,Southwest,1.0
2020-06-15,Southwest,
2020-06-16,Southwest,
2020-06-17,Southwest,1.0
2020-06-18,Southwest,7.0
2020-06-19,Southwest,
2020-06-20,Southwest,1.0
2020-06-21,Southwest,
2020-06-22,Southwest,11.0
2020-06-23,Southwest,2.0
2020-06-24,Southwest,13.0
2020-06-25,Southwest,6.0
2020-06-26,Southwest,3.0
2020-06-27,Southwest,1.0
2020-06-28,Southwest,
2020-06-29,Southwest,6.0
2020-06-30,Southwest,
2020-07-01,Southwest,4.0
2020-07-02,Southwest,8.0
2020-07-03,Southwest,
2020-07-04,Southwest,2.0
2020-07-05,Southwest,
2020-07-06,Southwest,
2020-07-07,Southwest,2.0
2020-07-08,Southwest,
2020-07-09,Southwest,3.0
2020-07-10,Southwest,2.0
2020-07-11,Southwest,1.0
2020-07-12,Southwest,
2020-07-13,Southwest,2.0
2020-07-14,Southwest,
2020-07-15,Southwest,
2020-07-16,Southwest,1.0
2020-07-17,Southwest,7.0
2020-07-18,Southwest,32.0
2020-07-19,Southwest,41.0
2020-07-20,Southwest,
2020-07-21,Southwest,
2020-07-22,Southwest,
2020-07-23,Southwest,
2020-07-24,Southwest,
2020-07-25,Southwest,2.0
2020-07-26,Southwest,
2020-07-27,Southwest,1.0
2020-07-28,Southwest,
2020-07-29,Southwest,
2020-07-30,Southwest,
2020-07-31,Southwest,
2020-08-01,Southwest,
2020-08-02,Southwest,3.0
2020-08-03,Southwest,
