date,region,cases
2020-06-28,Anchorage,7
2020-06-28,Gulf Coast,8
2020-06-28,Interior,2
2020-06-28,MatSu,3
2020-06-28,Northern,1
2020-06-29,Anchorage,22
2020-06-29,Gulf Coast,6
2020-06-29,Interior,5
2020-06-29,MatSu,2
2020-06-29,Southeast,1
2020-06-30,Anchorage,17
2020-06-30,Gulf Coast,5
2020-06-30,Interior,6
2020-06-30,MatSu,7
2020-06-30,Northern,2
2020-06-30,Southeast,1
2020-07-01,Anchorage,15
2020-07-01,Gulf Coast,5
2020-07-01,Interior,4
2020-07-01,MatSu,14
2020-07-01,Southeast,1
2020-07-02,Anchorage,21
2020-07-02,Gulf Coast,5
2020-07-02,Interior,11
2020-07-02,MatSu,5
2020-07-02,Northern,1
2020-07-02,Southeast,1
2020-07-02,Southwest,2
2020-07-03,Anchorage,31
2020-07-03,Gulf Coast,1
2020-07-03,Interior,6
2020-07-03,MatSu,7
2020-07-03,Southeast,2
2020-07-03,Southwest,2
2020-07-04,Anchorage,22
2020-07-04,Gulf Coast,2
2020-07-04,Interior,2
2020-07-04,MatSu,1
2020-07-05,Anchorage,19
2020-07-05,Gulf Coast,3
2020-07-05,Interior,5
2020-07-05,MatSu,1
2020-07-06,Anchorage,12
2020-07-06,Gulf Coast,2
2020-07-06,Interior,1
2020-07-06,MatSu,2
2020-07-06,Southeast,1
2020-07-07,Anchorage,19
2020-07-07,Gulf Coast,10
2020-07-07,Interior,5
2020-07-07,MatSu,3
2020-07-07,Northern,1
2020-07-07,Southwest,2
2020-07-08,Anchorage,23
2020-07-08,Gulf Coast,7
2020-07-08,Interior,8
2020-07-08,MatSu,6
2020-07-08,Northern,1
2020-07-08,Southeast,1
2020-07-08,Southwest,1
2020-07-09,Anchorage,23
2020-07-09,Gulf Coast,6
2020-07-09,Interior,15
2020-07-09,MatSu,4
2020-07-09,Northern,2
2020-07-09,Southeast,1
2020-07-10,Anchorage,30
2020-07-10,Gulf Coast,2
2020-07-10,Interior,26
2020-07-10,MatSu,3
2020-07-10,Southeast,1
2020-07-10,Southwest,1
